plt_cn,condid,invyr,statecd,countycd,plot,smplnnbr,measyear,forflthk,ltrlrthk,forflthkn,ltrlrthkn,forflthks,ltrlrthks,forflthke,ltrlrthke,forflthkw,ltrlrthkw,vstnbr,txtrlyr1,txtrlyr2,dpthsbsl,soils_statcd
610553024126144,1,2020,27,61,20198,2,2020,0.4,0.4,0.4,0.4,0.6,0.6,0.1,0.1,0.5,0.5,1,1,1,19,1
610553024126144,2,2020,27,61,20198,3,2020,0.6,0.6,0.5,0.5,0.7,0.7,0.9,0.9,0.3,0.3,1,,,17,1
610553024126144,2,2020,27,61,20198,4,2020,0.85,0.85,0.6,0.6,1.2,1.2,1,1,0.6,0.6,1,,,15,1
610553249126144,,2020,27,61,20700,2,2020,,,,,,,,,,,1,,,,4
610553249126144,,2020,27,61,20700,3,2020,,,,,,,,,,,1,,,,4
610553249126144,1,2020,27,61,20700,4,2020,1.575,1.45,1.5,1.4,1.1,0.9,1.8,1.8,1.9,1.7,1,,,20,1
610553366126144,,2020,27,61,20324,2,2020,,,,,,,,,,,1,,,,4
610553366126144,,2020,27,61,20324,3,2020,,,,,,,,,,,1,,,,4
610553366126144,,2020,27,61,20324,4,2020,,,,,,,,,,,1,,,,4
610553382126144,1,2020,27,21,20149,2,2020,0.9,0.55,0.9,0.5,0.9,0.6,0.8,0.4,1,0.7,1,3,3,20,1
610553382126144,1,2020,27,21,20149,3,2020,0.6,0.4,0.6,0.4,0.7,0.5,0.5,0.3,0.6,0.4,1,,,13.5,1
610553382126144,1,2020,27,21,20149,4,2020,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1,1,,,20,1
610553237126144,2,2020,27,71,22410,2,2020,1.425,0.525,1.6,0.4,1.4,0.5,1.7,0.8,1,0.4,1,3,3,15.6,1
610553237126144,1,2020,27,71,22410,3,2020,1.8,1.25,1.5,1.2,1.8,0.9,1.8,1.3,2.1,1.6,1,,,13.7,1
610553237126144,1,2020,27,71,22410,4,2020,0.825,0.55,0.9,0.7,1,0.6,0.8,0.5,0.6,0.4,1,,,6.8,1
610553354126144,1,2020,27,71,22173,2,2020,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,3,19,1
610553354126144,,2020,27,71,22173,3,2020,,,,,,,,,,,1,,,,2
610553354126144,1,2020,27,71,22173,4,2020,0.15,0.15,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,1,,,11,1
610553398126144,1,2020,27,97,20498,2,2020,0.3,0.125,0.3,0.1,0.4,0.1,0.3,0.1,0.2,0.2,1,1,1,4.6,1
610553398126144,,2020,27,97,20498,3,2020,,,,,,,,,,,1,,,,2
610553398126144,1,2020,27,97,20498,4,2020,0.25,0.125,0.2,0.1,0.2,0.1,0.3,0.1,0.3,0.2,1,,,20,1
610552795126144,2,2020,27,137,29224,2,2020,1.575,0.475,1.1,0.2,1.6,0.4,1.9,0.7,1.7,0.6,1,3,3,1.6,1
610552795126144,,2020,27,137,29224,3,2020,,,,,,,,,,,1,,,,2
610552795126144,,2020,27,137,29224,4,2020,,,,,,,,,,,1,,,,2
610552799126144,2,2020,27,137,28888,2,2020,2.55,2.025,2.7,2.4,2.6,1.6,2.8,2.8,2.1,1.3,1,1,4,6,1
610552799126144,1,2020,27,137,28888,3,2020,5.625,0.1,5.7,0.1,5.5,0.1,5.5,0.1,5.8,0.1,1,,,20,1
610552799126144,2,2020,27,137,28888,4,2020,1.05,0.75,1,0.8,1.1,0.8,1.1,0.7,1,0.7,1,,,1.7,1
610552823126144,1,2020,27,17,20410,2,2020,0.3,0.175,0.3,0.2,0.2,0.1,0.3,0.2,0.4,0.2,1,1,1,20,1
610552823126144,1,2020,27,17,20410,3,2020,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,1,,,17.2,1
610552823126144,,2020,27,17,20410,4,2020,,,,,,,,,,,1,,,,2
610553592126144,1,2020,27,7,20418,2,2020,0.225,0.225,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,1,4,2,17,1
610553592126144,1,2020,27,7,20418,3,2020,0.625,0.625,0.1,0.1,0.6,0.6,1.5,1.5,0.3,0.3,1,,,19.5,1
610553592126144,1,2020,27,7,20418,4,2020,0.6,0.6,0.4,0.4,0.8,0.8,0.9,0.9,0.3,0.3,1,,,16,1
610553982126144,2,2020,27,111,20200,2,2020,0.45,0.35,0.6,0.4,0.3,0.3,0.5,0.4,0.4,0.3,1,1,1,20,1
610553982126144,,2020,27,111,20200,3,2020,,,,,,,,,,,1,,,,2
610553982126144,,2020,27,111,20200,4,2020,,,,,,,,,,,1,,,,2
610553303126144,1,2020,27,145,20347,2,2020,0.575,0.25,0.8,0.4,0.4,0.2,0.5,0.2,0.6,0.2,1,1,1,19.6,1
610553303126144,1,2020,27,145,20347,3,2020,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1,1,,,20,1
610553303126144,1,2020,27,145,20347,4,2020,0.575,0.35,0.5,0.4,0.6,0.3,0.6,0.4,0.6,0.3,1,,,20,1
610552492126144,,2020,27,31,21223,2,2020,,,,,,,,,,,1,,,,4
610552492126144,,2020,27,31,21223,3,2020,,,,,,,,,,,1,,,,4
610552492126144,,2020,27,31,21223,4,2020,,,,,,,,,,,1,,,,4
610552827126144,,2020,27,115,20415,2,2020,,,,,,,,,,,1,,,,2
610552827126144,,2020,27,115,20415,3,2020,,,,,,,,,,,1,,,,2
610552827126144,2,2020,27,115,20415,4,2020,0.4,0.1,0.3,0.1,0.4,0.1,0.4,0.1,0.5,0.1,1,,,13.3,1
610552502126144,1,2020,27,169,20142,2,2020,0.475,0.175,0.4,0.1,0.6,0.2,0.3,0.2,0.6,0.2,1,1,1,6.4,1
610552502126144,1,2020,27,169,20142,3,2020,0.575,0.175,0.5,0.1,0.6,0.2,0.7,0.2,0.5,0.2,1,,,6.1,1
610552502126144,1,2020,27,169,20142,4,2020,0.5,0.15,0.5,0.2,0.5,0.1,0.4,0.1,0.6,0.2,1,,,10,1
610552496126144,1,2020,27,31,29322,2,2020,0.625,0.55,0.8,0.7,0.5,0.5,0.8,0.6,0.4,0.4,1,1,1,1.5,1
610552496126144,2,2020,27,31,29322,3,2020,0.825,0.775,1,0.9,0.8,0.8,0.6,0.6,0.9,0.8,1,,,7,1
610552496126144,2,2020,27,31,29322,4,2020,0.075,0.075,0.1,0.1,0,0,0.1,0.1,0.1,0.1,1,,,1.5,1
610552807126144,,2020,27,137,27066,2,2020,,,,,,,,,,,1,,,,4
610552807126144,,2020,27,137,27066,3,2020,,,,,,,,,,,1,,,,4
610552807126144,,2020,27,137,27066,4,2020,,,,,,,,,,,1,,,,4
610552931126144,,2020,27,65,20067,2,2020,,,,,,,,,,,1,,,,2
610552931126144,2,2020,27,65,20067,3,2020,0.35,0.25,0.5,0.4,0.3,0.2,0.3,0.2,0.3,0.2,1,,,2.6,1
610552931126144,,2020,27,65,20067,4,2020,,,,,,,,,,,1,,,,2
610552811126144,1,2020,27,137,27438,2,2020,0.375,0.375,0.5,0.5,0.4,0.4,0.5,0.5,0.1,0.1,1,1,3,17,1
610552811126144,1,2020,27,137,27438,3,2020,0.45,0.45,0.2,0.2,0.6,0.6,0.4,0.4,0.6,0.6,1,,,13,1
610552811126144,1,2020,27,137,27438,4,2020,0.75,0.75,0.1,0.1,1.1,1.1,1.1,1.1,0.7,0.7,1,,,10,1
610552815126144,,2020,27,137,25926,2,2020,,,,,,,,,,,1,,,,4
610552815126144,,2020,27,137,25926,3,2020,,,,,,,,,,,1,,,,4
610552815126144,,2020,27,137,25926,4,2020,,,,,,,,,,,1,,,,4
610552851126144,2,2020,27,53,20258,2,2021,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,1,2,2,20,1
610552851126144,3,2020,27,53,20258,3,2021,0.225,0.225,0.2,0.2,0.1,0.1,0.4,0.4,0.2,0.2,1,,,20,1
610552851126144,,2020,27,53,20258,4,2021,,,,,,,,,,,1,,,,2
610553279126144,1,2020,27,35,20130,2,2020,0.675,0.45,0.6,0.4,0.7,0.5,0.7,0.4,0.7,0.5,1,3,3,20,1
610553279126144,1,2020,27,35,20130,3,2020,1.175,0.725,1.1,0.7,1.2,0.7,1,0.6,1.4,0.9,1,,,20,1
610553279126144,1,2020,27,35,20130,4,2020,0.6,0.175,0.5,0.1,0.6,0.2,0.6,0.2,0.7,0.2,1,,,7.3,1
65830545010661,1,2001,27,5,20488,4,2001,1.3,1.2,1.2,0.8,1.6,1.6,1.2,1.2,1.2,1.2,1,,,4.7,1
65817163010661,1,2001,27,31,21235,2,2001,2.3,1.5,2.4,1.6,2,1.2,2.4,1.6,2.4,1.6,1,1,1,5.9,1
65163316010661,1,2000,27,17,20343,2,2000,2.4,0.8,2.4,0.8,2.4,0.8,2.4,0.8,2.4,0.8,2,0,0,20,1
